case_id,decision_class,thermal_drainage_ratio,thermal_pore_pressure_ratio,head_restraint_ratio,service_margin_index,max_TM_serviceability_ratio,max_THM_serviceability_ratio,tm_thm_decision_gap
455,False Safe,0.8485502106534197,1.6451575145030222,0.26252961599587554,-0.33176014338118454,0.9593706456768111,1.3317601433811845,0.37238949770437346
456,Safe-Safe,7.35059883065995,1.5782455984948818,0.4215228467354006,0.2610816137262856,0.5687647852330994,0.7389183862737144,0.17015360104061505
457,False Safe,1.778832537106508,1.6123513406586183,0.44323473669316715,-0.11379310205873994,0.9159947775479702,1.11379310205874,0.19779832451076973
458,Safe-Safe,2.130824883870389,1.605799398321136,0.4962229472648005,0.05258631007036085,0.7608586989500015,0.9474136899296391,0.18655499097963768
459,Unsafe-Unsafe,2.824601668220557,1.5969344088886104,0.5092280393202305,-0.5375840311888085,1.36947952968364,1.5375840311888085,0.16810450150516854
460,False Safe,1.5702590168262247,1.6172495873203827,0.5224363848539266,-0.006208688952902719,0.7409701161359782,1.0062086889529027,0.26523857281692453
461,Safe-Safe,5.276242271110478,1.5830332567441496,0.5713963313248972,0.12882557630709457,0.7565927831593667,0.8711744236929054,0.1145816405335387
462,False Safe,2.730985909364747,1.597906775073897,0.5041369103850644,-0.16800087129753982,0.970536342264078,1.1680008712975398,0.1974645290334618
463,Safe-Safe,8.047462789689508,1.5771649328939654,0.512745511477311,0.04958128964210673,0.8794180730395996,0.9504187103578933,0.07100063731829365
464,False Safe,1.5421788323840893,1.6179812238540618,0.32365504662678707,-0.30643122360660224,0.9010280709554357,1.3064312236066022,0.40540315265116655
465,Safe-Safe,2.113245780779897,1.6060852941835402,0.5124352656358483,0.13510732247635282,0.658248277125342,0.8648926775236472,0.20664440039830523
466,False Safe,1.6270389895258062,1.6158256620930678,0.5164022472077872,-0.3142791896926944,0.8302806871044537,1.3142791896926944,0.48399850258824073
467,Safe-Safe,6.407176997458855,1.5800614059294409,0.48188837737085166,0.151770031127202,0.7431473430448314,0.848229968872798,0.10508262582796657
468,Safe-Safe,3.7626333093823683,1.589580071555132,0.5685000194817915,0.052886094524598914,0.7713220200037977,0.9471139054754011,0.1757918854716034
469,False Safe,1.1359024619601579,1.6314472103438697,0.4930763949391647,-0.3052254648964605,0.9981594994306293,1.3052254648964605,0.3070659654658312
470,Unsafe-Unsafe,2.2017598969566423,1.6046833647876326,0.3507097120036485,-1.2713815158490926,1.550902671317633,2.2713815158490926,0.7204788445314596
471,False Safe,5.291595286286215,1.5829850165182477,0.46227672577592444,-0.1605603438788108,0.9611104567008771,1.1605603438788108,0.19944988717793366
472,False Safe,3.6263713423740334,1.590437368900385,0.30941259653877434,-0.16515404775531883,0.9694221463984721,1.1651540477553188,0.1957319013568467
473,False Safe,4.26296025356748,1.5869166810942805,0.5195640150406328,-0.11484996658875257,0.9001223971112243,1.1148499665887526,0.21472756947752825
474,False Safe,1.0919669676958528,1.633313564037993,0.4909063004251417,-0.11445834539846356,0.7367773307832144,1.1144583453984636,0.37768101461524917
475,Unsafe-Unsafe,4.3434097321235505,1.5865480185717653,0.34991165242691796,-0.4885632475487818,1.1593357107963365,1.4885632475487818,0.3292275367524453
476,Safe-Safe,8.374015424825904,1.576717657586053,0.5588086779138066,0.2837438002701467,0.6062867957291778,0.7162561997298533,0.10996940400067556
477,False Safe,0.9298116530880071,1.6409245433951323,0.5161317011365011,-0.11645229009807245,0.8082040151021754,1.1164522900980725,0.308248274995897
